fecha,mes,año,semana,servicio,numero_incidentes,tiempo_promedio_horas,tiempo_promedio_dias,cumplimiento_sla
2020-01-19,2020-01,2020,3,BI y Reportes,26,14.64,0.61,Cumple
2020-01-19,2020-01,2020,3,Infraestructura,31,51.35,2.14,Requiere atención
2020-01-26,2020-01,2020,4,Sistema Tributario,21,38.19,1.59,Requiere atención
2020-01-26,2020-01,2020,4,Portal Web,32,27.62,1.15,Requiere atención
2020-01-26,2020-01,2020,4,API de Servicios,39,4.4,0.18,Cumple
2020-01-26,2020-01,2020,4,Sistema de Facturación,26,45.87,1.91,Requiere atención
2020-01-26,2020-01,2020,4,Plataforma de Pagos,33,38.94,1.62,Requiere atención
2020-01-26,2020-01,2020,4,Sistema Aduanero,46,40.86,1.7,Requiere atención
2020-01-26,2020-01,2020,4,BI y Reportes,49,12.4,0.52,Cumple
2020-01-26,2020-01,2020,4,Infraestructura,33,41.6,1.73,Requiere atención
2020-02-02,2020-02,2020,5,Sistema Tributario,37,18.51,0.77,Cumple
2020-02-02,2020-02,2020,5,Portal Web,30,12.67,0.53,Cumple
2020-02-02,2020-02,2020,5,API de Servicios,44,21.53,0.9,Cumple
2020-02-02,2020-02,2020,5,Sistema de Facturación,27,38.17,1.59,Requiere atención
2020-02-02,2020-02,2020,5,Plataforma de Pagos,17,24.3,1.01,Requiere atención
2020-02-02,2020-02,2020,5,Sistema Aduanero,17,42.47,1.77,Requiere atención
2020-02-02,2020-02,2020,5,BI y Reportes,42,12.36,0.52,Cumple
2020-02-02,2020-02,2020,5,Infraestructura,48,20.45,0.85,Cumple
2020-02-09,2020-02,2020,6,Sistema Tributario,46,18.08,0.75,Cumple
2020-02-09,2020-02,2020,6,Portal Web,37,14.37,0.6,Cumple
2020-02-09,2020-02,2020,6,API de Servicios,23,45.37,1.89,Requiere atención
2020-02-09,2020-02,2020,6,Sistema de Facturación,27,33.72,1.41,Requiere atención
2020-02-09,2020-02,2020,6,Plataforma de Pagos,47,12.05,0.5,Cumple
2020-02-09,2020-02,2020,6,Sistema Aduanero,40,37.26,1.55,Requiere atención
2020-02-09,2020-02,2020,6,BI y Reportes,28,23.67,0.99,Cumple
2020-02-09,2020-02,2020,6,Infraestructura,12,33.92,1.41,Requiere atención
2020-02-16,2020-02,2020,7,Sistema Tributario,16,44.48,1.85,Requiere atención
2020-02-16,2020-02,2020,7,Portal Web,18,18.72,0.78,Cumple
2020-02-16,2020-02,2020,7,API de Servicios,34,14.98,0.62,Cumple
2020-02-16,2020-02,2020,7,Sistema de Facturación,28,10.15,0.42,Cumple
2020-02-16,2020-02,2020,7,Plataforma de Pagos,36,46.1,1.92,Requiere atención
2020-02-16,2020-02,2020,7,Sistema Aduanero,28,24.76,1.03,Requiere atención
2020-02-16,2020-02,2020,7,BI y Reportes,23,35.43,1.48,Requiere atención
2020-02-16,2020-02,2020,7,Infraestructura,39,24.01,1.0,Requiere atención
2020-02-23,2020-02,2020,8,Sistema Tributario,27,14.24,0.59,Cumple
2020-02-23,2020-02,2020,8,Portal Web,15,41.94,1.75,Requiere atención
2020-02-23,2020-02,2020,8,API de Servicios,38,12.03,0.5,Cumple
2020-02-23,2020-02,2020,8,Sistema de Facturación,11,33.11,1.38,Requiere atención
2020-02-23,2020-02,2020,8,Plataforma de Pagos,17,36.25,1.51,Requiere atención
2020-02-23,2020-02,2020,8,Sistema Aduanero,15,43.29,1.8,Requiere atención
2020-02-23,2020-02,2020,8,BI y Reportes,28,23.15,0.96,Cumple
2020-02-23,2020-02,2020,8,Infraestructura,42,26.5,1.1,Requiere atención
2020-03-01,2020-03,2020,9,Sistema Tributario,26,35.23,1.47,Requiere atención
2020-03-01,2020-03,2020,9,Portal Web,43,38.15,1.59,Requiere atención
2020-03-01,2020-03,2020,9,API de Servicios,16,24.11,1.0,Requiere atención
2020-03-01,2020-03,2020,9,Sistema de Facturación,34,37.79,1.57,Requiere atención
2020-03-01,2020-03,2020,9,Plataforma de Pagos,33,28.14,1.17,Requiere atención
2020-03-01,2020-03,2020,9,Sistema Aduanero,17,48.21,2.01,Requiere atención
2020-03-01,2020-03,2020,9,BI y Reportes,47,25.29,1.05,Requiere atención
2020-03-01,2020-03,2020,9,Infraestructura,37,33.4,1.39,Requiere atención
2020-03-08,2020-03,2020,10,Sistema Tributario,26,12.22,0.51,Cumple
2020-03-08,2020-03,2020,10,Portal Web,25,33.57,1.4,Requiere atención
2020-03-08,2020-03,2020,10,API de Servicios,38,23.53,0.98,Cumple
2020-03-08,2020-03,2020,10,Sistema de Facturación,14,47.75,1.99,Requiere atención
2020-03-08,2020-03,2020,10,Plataforma de Pagos,22,24.62,1.03,Requiere atención
2020-03-08,2020-03,2020,10,Sistema Aduanero,17,44.55,1.86,Requiere atención
2020-03-08,2020-03,2020,10,BI y Reportes,12,24.3,1.01,Requiere atención
2020-03-08,2020-03,2020,10,Infraestructura,34,19.59,0.82,Cumple
2020-03-15,2020-03,2020,11,Sistema Tributario,48,26.89,1.12,Requiere atención
2020-03-15,2020-03,2020,11,Portal Web,49,33.85,1.41,Requiere atención
2020-03-15,2020-03,2020,11,API de Servicios,39,17.33,0.72,Cumple
2020-03-15,2020-03,2020,11,Sistema de Facturación,40,25.5,1.06,Requiere atención
2020-03-15,2020-03,2020,11,Plataforma de Pagos,25,12.33,0.51,Cumple
2020-03-15,2020-03,2020,11,Sistema Aduanero,42,42.03,1.75,Requiere atención
2020-03-15,2020-03,2020,11,BI y Reportes,48,22.48,0.94,Cumple
2020-03-15,2020-03,2020,11,Infraestructura,48,15.78,0.66,Cumple
2020-03-22,2020-03,2020,12,Sistema Tributario,49,13.93,0.58,Cumple
2020-03-22,2020-03,2020,12,Portal Web,22,16.56,0.69,Cumple
2020-03-22,2020-03,2020,12,API de Servicios,33,12.1,0.5,Cumple
2020-03-22,2020-03,2020,12,Sistema de Facturación,40,30.4,1.27,Requiere atención
2020-03-22,2020-03,2020,12,Plataforma de Pagos,36,22.6,0.94,Cumple
2020-03-22,2020-03,2020,12,Sistema Aduanero,42,16.33,0.68,Cumple
2020-03-22,2020-03,2020,12,BI y Reportes,18,41.08,1.71,Requiere atención
2020-03-22,2020-03,2020,12,Infraestructura,23,34.75,1.45,Requiere atención
2020-03-29,2020-03,2020,13,Sistema Tributario,30,29.04,1.21,Requiere atención
2020-03-29,2020-03,2020,13,Portal Web,14,42.65,1.78,Requiere atención
2020-03-29,2020-03,2020,13,API de Servicios,44,14.56,0.61,Cumple
2020-03-29,2020-03,2020,13,Sistema de Facturación,41,27.95,1.16,Requiere atención
2020-03-29,2020-03,2020,13,Plataforma de Pagos,46,13.83,0.58,Cumple
2020-03-29,2020-03,2020,13,Sistema Aduanero,17,33.72,1.41,Requiere atención
2020-03-29,2020-03,2020,13,BI y Reportes,26,6.09,0.25,Cumple
2020-03-29,2020-03,2020,13,Infraestructura,36,33.97,1.42,Requiere atención
2020-04-05,2020-04,2020,14,Sistema Tributario,38,29.08,1.21,Requiere atención
2020-04-05,2020-04,2020,14,Portal Web,25,10.65,0.44,Cumple
2020-04-05,2020-04,2020,14,API de Servicios,47,29.2,1.22,Requiere atención
2020-04-05,2020-04,2020,14,Sistema de Facturación,45,44.25,1.84,Requiere atención
2020-04-05,2020-04,2020,14,Plataforma de Pagos,21,36.36,1.51,Requiere atención
2020-04-05,2020-04,2020,14,Sistema Aduanero,48,29.62,1.23,Requiere atención
2020-04-05,2020-04,2020,14,BI y Reportes,34,21.42,0.89,Cumple
2020-04-05,2020-04,2020,14,Infraestructura,15,8.05,0.34,Cumple
2020-04-12,2020-04,2020,15,Sistema Tributario,44,35.12,1.46,Requiere atención
2020-04-12,2020-04,2020,15,Portal Web,14,12.68,0.53,Cumple
2020-04-12,2020-04,2020,15,API de Servicios,41,24.85,1.04,Requiere atención
2020-04-12,2020-04,2020,15,Sistema de Facturación,40,14.08,0.59,Cumple
2020-04-12,2020-04,2020,15,Plataforma de Pagos,21,45.78,1.91,Requiere atención
2020-04-12,2020-04,2020,15,Sistema Aduanero,29,21.82,0.91,Cumple
2020-04-12,2020-04,2020,15,BI y Reportes,38,24.28,1.01,Requiere atención
2020-04-12,2020-04,2020,15,Infraestructura,17,14.25,0.59,Cumple
2020-04-19,2020-04,2020,16,Sistema Tributario,48,46.85,1.95,Requiere atención
2020-04-19,2020-04,2020,16,Portal Web,49,28.36,1.18,Requiere atención
2020-04-19,2020-04,2020,16,API de Servicios,43,41.55,1.73,Requiere atención
2020-04-19,2020-04,2020,16,Sistema de Facturación,32,8.54,0.36,Cumple
2020-04-19,2020-04,2020,16,Plataforma de Pagos,34,16.28,0.68,Cumple
2020-04-19,2020-04,2020,16,Sistema Aduanero,29,31.45,1.31,Requiere atención
2020-04-19,2020-04,2020,16,BI y Reportes,39,7.64,0.32,Cumple
2020-04-19,2020-04,2020,16,Infraestructura,29,23.25,0.97,Cumple
2020-04-26,2020-04,2020,17,Sistema Tributario,36,49.08,2.05,Requiere atención
2020-04-26,2020-04,2020,17,Portal Web,45,15.96,0.67,Cumple
2020-04-26,2020-04,2020,17,API de Servicios,20,26.58,1.11,Requiere atención
2020-04-26,2020-04,2020,17,Sistema de Facturación,43,18.9,0.79,Cumple
2020-04-26,2020-04,2020,17,Plataforma de Pagos,49,22.88,0.95,Cumple
2020-04-26,2020-04,2020,17,Sistema Aduanero,28,21.18,0.88,Cumple
2020-04-26,2020-04,2020,17,BI y Reportes,28,5.22,0.22,Cumple
2020-04-26,2020-04,2020,17,Infraestructura,27,31.4,1.31,Requiere atención
2020-05-03,2020-05,2020,18,Sistema Tributario,21,46.97,1.96,Requiere atención
2020-05-03,2020-05,2020,18,Portal Web,10,31.56,1.31,Requiere atención
2020-05-03,2020-05,2020,18,API de Servicios,33,27.68,1.15,Requiere atención
2020-05-03,2020-05,2020,18,Sistema de Facturación,26,10.46,0.44,Cumple
2020-05-03,2020-05,2020,18,Plataforma de Pagos,16,23.83,0.99,Cumple
2020-05-03,2020-05,2020,18,Sistema Aduanero,21,19.31,0.8,Cumple
2020-05-03,2020-05,2020,18,BI y Reportes,37,14.82,0.62,Cumple
2020-05-03,2020-05,2020,18,Infraestructura,46,48.27,2.01,Requiere atención
2020-05-10,2020-05,2020,19,Sistema Tributario,21,42.19,1.76,Requiere atención
2020-05-10,2020-05,2020,19,Portal Web,38,41.72,1.74,Requiere atención
2020-05-10,2020-05,2020,19,API de Servicios,11,39.57,1.65,Requiere atención
2020-05-10,2020-05,2020,19,Sistema de Facturación,43,35.67,1.49,Requiere atención
2020-05-10,2020-05,2020,19,Plataforma de Pagos,11,11.27,0.47,Cumple
2020-05-10,2020-05,2020,19,Sistema Aduanero,46,3.22,0.13,Cumple
2020-05-10,2020-05,2020,19,BI y Reportes,28,42.91,1.79,Requiere atención
2020-05-10,2020-05,2020,19,Infraestructura,46,29.55,1.23,Requiere atención
2020-05-17,2020-05,2020,20,Sistema Tributario,33,31.76,1.32,Requiere atención
2020-05-17,2020-05,2020,20,Portal Web,48,13.13,0.55,Cumple
2020-05-17,2020-05,2020,20,API de Servicios,48,20.43,0.85,Cumple
2020-05-17,2020-05,2020,20,Sistema de Facturación,15,20.3,0.85,Cumple
2020-05-17,2020-05,2020,20,Plataforma de Pagos,37,31.72,1.32,Requiere atención
2020-05-17,2020-05,2020,20,Sistema Aduanero,42,25.37,1.06,Requiere atención
2020-05-17,2020-05,2020,20,BI y Reportes,27,20.55,0.86,Cumple
2020-05-17,2020-05,2020,20,Infraestructura,10,27.68,1.15,Requiere atención
2020-05-24,2020-05,2020,21,Sistema Tributario,12,19.48,0.81,Cumple
2020-05-24,2020-05,2020,21,Portal Web,36,20.55,0.86,Cumple
2020-05-24,2020-05,2020,21,API de Servicios,45,7.08,0.29,Cumple
2020-05-24,2020-05,2020,21,Sistema de Facturación,31,22.44,0.93,Cumple
2020-05-24,2020-05,2020,21,Plataforma de Pagos,31,39.87,1.66,Requiere atención
2020-05-24,2020-05,2020,21,Sistema Aduanero,30,24.15,1.01,Requiere atención
2020-05-24,2020-05,2020,21,BI y Reportes,34,18.38,0.77,Cumple
2020-05-24,2020-05,2020,21,Infraestructura,42,48.14,2.01,Requiere atención
2020-05-31,2020-05,2020,22,Sistema Tributario,30,12.15,0.51,Cumple
2020-05-31,2020-05,2020,22,Portal Web,29,36.79,1.53,Requiere atención
2020-05-31,2020-05,2020,22,API de Servicios,12,16.99,0.71,Cumple
2020-05-31,2020-05,2020,22,Sistema de Facturación,24,12.9,0.54,Cumple
2020-05-31,2020-05,2020,22,Plataforma de Pagos,31,30.9,1.29,Requiere atención
2020-05-31,2020-05,2020,22,Sistema Aduanero,42,33.56,1.4,Requiere atención
2020-05-31,2020-05,2020,22,BI y Reportes,23,34.32,1.43,Requiere atención
2020-05-31,2020-05,2020,22,Infraestructura,39,36.07,1.5,Requiere atención
2020-06-07,2020-06,2020,23,Sistema Tributario,21,41.63,1.73,Requiere atención
2020-06-07,2020-06,2020,23,Portal Web,26,30.26,1.26,Requiere atención
2020-06-07,2020-06,2020,23,API de Servicios,32,35.99,1.5,Requiere atención
2020-06-07,2020-06,2020,23,Sistema de Facturación,43,39.05,1.63,Requiere atención
2020-06-07,2020-06,2020,23,Plataforma de Pagos,15,14.68,0.61,Cumple
2020-06-07,2020-06,2020,23,Sistema Aduanero,32,45.0,1.88,Requiere atención
2020-06-07,2020-06,2020,23,BI y Reportes,46,41.96,1.75,Requiere atención
2020-06-07,2020-06,2020,23,Infraestructura,31,22.11,0.92,Cumple
2020-06-14,2020-06,2020,24,Sistema Tributario,24,29.81,1.24,Requiere atención
2020-06-14,2020-06,2020,24,Portal Web,47,31.16,1.3,Requiere atención
2020-06-14,2020-06,2020,24,API de Servicios,10,11.77,0.49,Cumple
2020-06-14,2020-06,2020,24,Sistema de Facturación,21,43.0,1.79,Requiere atención
2020-06-14,2020-06,2020,24,Plataforma de Pagos,48,33.24,1.38,Requiere atención
2020-06-14,2020-06,2020,24,Sistema Aduanero,40,21.32,0.89,Cumple
2020-06-14,2020-06,2020,24,BI y Reportes,33,30.43,1.27,Requiere atención
2020-06-14,2020-06,2020,24,Infraestructura,19,32.16,1.34,Requiere atención
2020-06-21,2020-06,2020,25,Sistema Tributario,12,25.56,1.06,Requiere atención
2020-06-21,2020-06,2020,25,Portal Web,20,35.11,1.46,Requiere atención
2020-06-21,2020-06,2020,25,API de Servicios,19,43.77,1.82,Requiere atención
2020-06-21,2020-06,2020,25,Sistema de Facturación,16,38.89,1.62,Requiere atención
2020-06-21,2020-06,2020,25,Plataforma de Pagos,33,31.26,1.3,Requiere atención
2020-06-21,2020-06,2020,25,Sistema Aduanero,35,37.07,1.54,Requiere atención
2020-06-21,2020-06,2020,25,BI y Reportes,14,36.36,1.52,Requiere atención
2020-06-21,2020-06,2020,25,Infraestructura,10,14.32,0.6,Cumple
2020-06-28,2020-06,2020,26,Sistema Tributario,32,30.97,1.29,Requiere atención
2020-06-28,2020-06,2020,26,Portal Web,21,14.47,0.6,Cumple
2020-06-28,2020-06,2020,26,API de Servicios,39,37.75,1.57,Requiere atención
2020-06-28,2020-06,2020,26,Sistema de Facturación,45,33.21,1.38,Requiere atención
2020-06-28,2020-06,2020,26,Plataforma de Pagos,40,25.85,1.08,Requiere atención
2020-06-28,2020-06,2020,26,Sistema Aduanero,22,37.86,1.58,Requiere atención
2020-06-28,2020-06,2020,26,BI y Reportes,25,40.76,1.7,Requiere atención
2020-06-28,2020-06,2020,26,Infraestructura,20,11.32,0.47,Cumple
2020-07-05,2020-07,2020,27,Sistema Tributario,46,25.41,1.06,Requiere atención
2020-07-05,2020-07,2020,27,Portal Web,37,17.49,0.73,Cumple
2020-07-05,2020-07,2020,27,API de Servicios,19,13.32,0.56,Cumple
2020-07-05,2020-07,2020,27,Sistema de Facturación,39,35.9,1.5,Requiere atención
2020-07-05,2020-07,2020,27,Plataforma de Pagos,35,19.75,0.82,Cumple
2020-07-05,2020-07,2020,27,Sistema Aduanero,11,30.52,1.27,Requiere atención
2020-07-05,2020-07,2020,27,BI y Reportes,16,30.36,1.27,Requiere atención
2020-07-05,2020-07,2020,27,Infraestructura,43,16.72,0.7,Cumple
2020-07-12,2020-07,2020,28,Sistema Tributario,29,27.39,1.14,Requiere atención
2020-07-12,2020-07,2020,28,Portal Web,49,33.86,1.41,Requiere atención
2020-07-12,2020-07,2020,28,API de Servicios,31,34.95,1.46,Requiere atención
2020-07-12,2020-07,2020,28,Sistema de Facturación,48,26.79,1.12,Requiere atención
2020-07-12,2020-07,2020,28,Plataforma de Pagos,16,29.7,1.24,Requiere atención
2020-07-12,2020-07,2020,28,Sistema Aduanero,46,14.7,0.61,Cumple
2020-07-12,2020-07,2020,28,BI y Reportes,26,27.46,1.14,Requiere atención
2020-07-12,2020-07,2020,28,Infraestructura,17,48.32,2.01,Requiere atención
2020-07-19,2020-07,2020,29,Sistema Tributario,39,23.6,0.98,Cumple
2020-07-19,2020-07,2020,29,Portal Web,19,30.26,1.26,Requiere atención
2020-07-19,2020-07,2020,29,API de Servicios,13,16.1,0.67,Cumple
2020-07-19,2020-07,2020,29,Sistema de Facturación,33,7.0,0.29,Cumple
2020-07-19,2020-07,2020,29,Plataforma de Pagos,28,17.52,0.73,Cumple
2020-07-19,2020-07,2020,29,Sistema Aduanero,48,33.38,1.39,Requiere atención
2020-07-19,2020-07,2020,29,BI y Reportes,30,32.61,1.36,Requiere atención
2020-07-19,2020-07,2020,29,Infraestructura,44,29.03,1.21,Requiere atención
2020-07-26,2020-07,2020,30,Sistema Tributario,31,27.67,1.15,Requiere atención
2020-07-26,2020-07,2020,30,Portal Web,32,6.08,0.25,Cumple
2020-07-26,2020-07,2020,30,API de Servicios,15,29.67,1.24,Requiere atención
2020-07-26,2020-07,2020,30,Sistema de Facturación,42,37.54,1.56,Requiere atención
2020-07-26,2020-07,2020,30,Plataforma de Pagos,40,9.38,0.39,Cumple
2020-07-26,2020-07,2020,30,Sistema Aduanero,23,27.84,1.16,Requiere atención
2020-07-26,2020-07,2020,30,BI y Reportes,17,30.4,1.27,Requiere atención
2020-07-26,2020-07,2020,30,Infraestructura,37,10.96,0.46,Cumple
2020-08-02,2020-08,2020,31,Sistema Tributario,21,28.13,1.17,Requiere atención
2020-08-02,2020-08,2020,31,Portal Web,46,34.23,1.43,Requiere atención
2020-08-02,2020-08,2020,31,API de Servicios,48,33.02,1.38,Requiere atención
2020-08-02,2020-08,2020,31,Sistema de Facturación,10,21.36,0.89,Cumple
2020-08-02,2020-08,2020,31,Plataforma de Pagos,29,17.17,0.72,Cumple
2020-08-02,2020-08,2020,31,Sistema Aduanero,42,28.78,1.2,Requiere atención
2020-08-02,2020-08,2020,31,BI y Reportes,29,29.66,1.24,Requiere atención
2020-08-02,2020-08,2020,31,Infraestructura,25,34.49,1.44,Requiere atención
2020-08-09,2020-08,2020,32,Sistema Tributario,32,30.82,1.28,Requiere atención
2020-08-09,2020-08,2020,32,Portal Web,43,40.99,1.71,Requiere atención
2020-08-09,2020-08,2020,32,API de Servicios,41,28.22,1.18,Requiere atención
2020-08-09,2020-08,2020,32,Sistema de Facturación,40,19.58,0.82,Cumple
2020-08-09,2020-08,2020,32,Plataforma de Pagos,17,32.18,1.34,Requiere atención
2020-08-09,2020-08,2020,32,Sistema Aduanero,14,38.75,1.61,Requiere atención
2020-08-09,2020-08,2020,32,BI y Reportes,20,15.65,0.65,Cumple
2020-08-09,2020-08,2020,32,Infraestructura,46,45.33,1.89,Requiere atención
2020-08-16,2020-08,2020,33,Sistema Tributario,34,26.74,1.11,Requiere atención
2020-08-16,2020-08,2020,33,Portal Web,21,31.43,1.31,Requiere atención
2020-08-16,2020-08,2020,33,API de Servicios,39,15.09,0.63,Cumple
2020-08-16,2020-08,2020,33,Sistema de Facturación,39,36.49,1.52,Requiere atención
2020-08-16,2020-08,2020,33,Plataforma de Pagos,21,7.23,0.3,Cumple
2020-08-16,2020-08,2020,33,Sistema Aduanero,22,30.12,1.25,Requiere atención
2020-08-16,2020-08,2020,33,BI y Reportes,19,8.18,0.34,Cumple
2020-08-16,2020-08,2020,33,Infraestructura,47,19.39,0.81,Cumple
2020-08-23,2020-08,2020,34,Sistema Tributario,29,25.01,1.04,Requiere atención
2020-08-23,2020-08,2020,34,Portal Web,19,17.98,0.75,Cumple
2020-08-23,2020-08,2020,34,API de Servicios,40,30.23,1.26,Requiere atención
2020-08-23,2020-08,2020,34,Sistema de Facturación,15,41.52,1.73,Requiere atención
2020-08-23,2020-08,2020,34,Plataforma de Pagos,48,14.25,0.59,Cumple
2020-08-23,2020-08,2020,34,Sistema Aduanero,15,35.52,1.48,Requiere atención
2020-08-23,2020-08,2020,34,BI y Reportes,39,9.45,0.39,Cumple
2020-08-23,2020-08,2020,34,Infraestructura,16,48.34,2.01,Requiere atención
2020-08-30,2020-08,2020,35,Sistema Tributario,28,12.45,0.52,Cumple
2020-08-30,2020-08,2020,35,Portal Web,45,34.08,1.42,Requiere atención
2020-08-30,2020-08,2020,35,API de Servicios,11,31.55,1.31,Requiere atención
2020-08-30,2020-08,2020,35,Sistema de Facturación,22,23.15,0.96,Cumple
2020-08-30,2020-08,2020,35,Plataforma de Pagos,30,32.14,1.34,Requiere atención
2020-08-30,2020-08,2020,35,Sistema Aduanero,11,39.82,1.66,Requiere atención
2020-08-30,2020-08,2020,35,BI y Reportes,37,40.97,1.71,Requiere atención
2020-08-30,2020-08,2020,35,Infraestructura,19,34.09,1.42,Requiere atención
2020-09-06,2020-09,2020,36,Sistema Tributario,19,51.19,2.13,Requiere atención
2020-09-06,2020-09,2020,36,Portal Web,21,29.47,1.23,Requiere atención
2020-09-06,2020-09,2020,36,API de Servicios,11,21.29,0.89,Cumple
2020-09-06,2020-09,2020,36,Sistema de Facturación,38,9.41,0.39,Cumple
2020-09-06,2020-09,2020,36,Plataforma de Pagos,43,24.19,1.01,Requiere atención
2020-09-06,2020-09,2020,36,Sistema Aduanero,49,45.07,1.88,Requiere atención
2020-09-06,2020-09,2020,36,BI y Reportes,39,29.95,1.25,Requiere atención
2020-09-06,2020-09,2020,36,Infraestructura,17,46.97,1.96,Requiere atención
2020-09-13,2020-09,2020,37,Sistema Tributario,12,15.58,0.65,Cumple
2020-09-13,2020-09,2020,37,Portal Web,45,19.1,0.8,Cumple
2020-09-13,2020-09,2020,37,API de Servicios,39,35.47,1.48,Requiere atención
2020-09-13,2020-09,2020,37,Sistema de Facturación,20,12.17,0.51,Cumple
2020-09-13,2020-09,2020,37,Plataforma de Pagos,20,19.14,0.8,Cumple
2020-09-13,2020-09,2020,37,Sistema Aduanero,49,46.24,1.93,Requiere atención
2020-09-13,2020-09,2020,37,BI y Reportes,36,39.41,1.64,Requiere atención
2020-09-13,2020-09,2020,37,Infraestructura,13,27.03,1.13,Requiere atención
2020-09-20,2020-09,2020,38,Sistema Tributario,13,23.54,0.98,Cumple
2020-09-20,2020-09,2020,38,Portal Web,35,30.35,1.26,Requiere atención
2020-09-20,2020-09,2020,38,API de Servicios,37,36.27,1.51,Requiere atención
2020-09-20,2020-09,2020,38,Sistema de Facturación,22,45.72,1.91,Requiere atención
2020-09-20,2020-09,2020,38,Plataforma de Pagos,11,25.57,1.07,Requiere atención
2020-09-20,2020-09,2020,38,Sistema Aduanero,18,14.76,0.61,Cumple
2020-09-20,2020-09,2020,38,BI y Reportes,29,42.03,1.75,Requiere atención
2020-09-20,2020-09,2020,38,Infraestructura,33,38.9,1.62,Requiere atención
2020-09-27,2020-09,2020,39,Sistema Tributario,25,17.23,0.72,Cumple
2020-09-27,2020-09,2020,39,Portal Web,17,42.97,1.79,Requiere atención
2020-09-27,2020-09,2020,39,API de Servicios,29,33.27,1.39,Requiere atención
2020-09-27,2020-09,2020,39,Sistema de Facturación,42,13.37,0.56,Cumple
2020-09-27,2020-09,2020,39,Plataforma de Pagos,27,31.54,1.31,Requiere atención
2020-09-27,2020-09,2020,39,Sistema Aduanero,23,15.13,0.63,Cumple
2020-09-27,2020-09,2020,39,BI y Reportes,24,25.51,1.06,Requiere atención
2020-09-27,2020-09,2020,39,Infraestructura,47,25.3,1.05,Requiere atención
2020-10-04,2020-10,2020,40,Sistema Tributario,20,39.15,1.63,Requiere atención
2020-10-04,2020-10,2020,40,Portal Web,33,42.33,1.76,Requiere atención
2020-10-04,2020-10,2020,40,API de Servicios,29,17.24,0.72,Cumple
2020-10-04,2020-10,2020,40,Sistema de Facturación,18,12.0,0.5,Cumple
2020-10-04,2020-10,2020,40,Plataforma de Pagos,34,14.14,0.59,Cumple
2020-10-04,2020-10,2020,40,Sistema Aduanero,24,35.21,1.47,Requiere atención
2020-10-04,2020-10,2020,40,BI y Reportes,23,10.92,0.45,Cumple
2020-10-04,2020-10,2020,40,Infraestructura,27,9.73,0.41,Cumple
2020-10-11,2020-10,2020,41,Sistema Tributario,10,42.23,1.76,Requiere atención
2020-10-11,2020-10,2020,41,Portal Web,14,15.43,0.64,Cumple
2020-10-11,2020-10,2020,41,API de Servicios,38,36.71,1.53,Requiere atención
2020-10-11,2020-10,2020,41,Sistema de Facturación,21,17.96,0.75,Cumple
2020-10-11,2020-10,2020,41,Plataforma de Pagos,18,13.19,0.55,Cumple
2020-10-11,2020-10,2020,41,Sistema Aduanero,11,14.39,0.6,Cumple
2020-10-11,2020-10,2020,41,BI y Reportes,25,33.23,1.38,Requiere atención
2020-10-11,2020-10,2020,41,Infraestructura,26,28.53,1.19,Requiere atención
2020-10-18,2020-10,2020,42,Sistema Tributario,18,18.52,0.77,Cumple
2020-10-18,2020-10,2020,42,Portal Web,24,50.13,2.09,Requiere atención
2020-10-18,2020-10,2020,42,API de Servicios,42,41.83,1.74,Requiere atención
2020-10-18,2020-10,2020,42,Sistema de Facturación,19,38.08,1.59,Requiere atención
